time,open,high,low,close,volume
2024-01-02T14:30:00Z,470.10,470.85,469.90,470.55,1850000
2024-01-02T14:35:00Z,470.55,471.20,470.40,471.05,1620000
2024-01-02T14:40:00Z,471.05,471.30,470.60,470.80,1410000
2024-01-02T14:45:00Z,470.80,471.65,470.75,471.50,1730000
2024-01-02T14:50:00Z,471.50,472.10,471.40,472.00,1920000
2024-01-02T14:55:00Z,472.00,472.25,471.55,471.70,1500000
2024-01-02T15:00:00Z,471.70,472.40,471.65,472.30,1680000
2024-01-02T15:05:00Z,472.30,472.55,471.95,472.10,1340000
2024-01-02T15:10:00Z,472.10,472.20,471.30,471.45,1560000
2024-01-02T15:15:00Z,471.45,471.90,471.20,471.80,1480000
